date,team,rank,points,source,retrieved_at
2018-05-17,Bosnia and Herzegovina,41,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2024-04-04,Bosnia and Herzegovina,74,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,Bosnia and Herzegovina,64,1387.22,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2018-05-17,Botswana,142,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2024-04-04,Botswana,146,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,Botswana,147,1063.63,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2010-05-26,Brazil,1,1611.0,snapshot:fifa_2010-05-26.csv,2026-06-22T22:06:16.733133+00:00
2014-05-08,Brazil,4,1210.0,snapshot:fifa_2014-05-08.csv,2026-06-22T22:06:16.766522+00:00
2016-06-02,Brazil,7,1257.0,snapshot:fifa_2016-06-02.csv,2026-06-22T22:06:16.782449+00:00
2018-05-17,Brazil,2,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2019-07-25,Brazil,2,1726.0,snapshot:fifa_2019-07-25.csv,2026-06-22T22:06:16.830433+00:00
2022-10-06,Brazil,1,1841.3,snapshot:fifa_2022-10-06.csv,2026-06-22T22:06:16.846448+00:00
2024-04-04,Brazil,5,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,Brazil,6,1765.86,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2018-05-17,British Virgin Islands,206,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2024-04-04,British Virgin Islands,207,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,British Virgin Islands,209,777.41,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2018-05-17,Brunei Darussalam,195,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2024-04-04,Brunei Darussalam,194,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,Brunei Darussalam,194,857.73,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2018-05-17,Bulgaria,53,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2024-04-04,Bulgaria,83,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,Bulgaria,87,1271.68,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2018-05-17,Burkina Faso,54,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2024-04-04,Burkina Faso,62,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,Burkina Faso,62,1406.99,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2018-05-17,Burundi,146,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2024-04-04,Burundi,140,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,Burundi,142,1078.01,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2024-04-04,Cabo Verde (Cape Verde Islands),65,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2018-05-17,Cambodia,170,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2024-04-04,Cambodia,179,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,Cambodia,175,922.32,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2010-05-26,Cameroon,19,887.0,snapshot:fifa_2010-05-26.csv,2026-06-22T22:06:16.733133+00:00
2018-05-17,Cameroon,50,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2024-04-04,Cameroon,51,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,Cameroon,44,1481.24,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2018-05-17,Canada,80,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2024-04-04,Canada,49,,snapshot:fifa_2024-04-04.csv,2026-06-22T22:06:16.864343+00:00
2026-06-11,Canada,30,1559.48,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2018-05-17,Cape Verde,58,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2026-06-11,Cape Verde,67,1371.11,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
2018-05-17,Cayman Islands,204,,snapshot:fifa_2018-05-17.csv,2026-06-22T22:06:16.800256+00:00
2026-06-11,Cayman Islands,197,850.06,snapshot:fifa_2026-06-11.csv,2026-06-22T22:06:16.926026+00:00
