fixture_id,date,home_team,away_team,status,minute,home_score,away_score,home_red_cards,away_red_cards,source,updated_at
1489386,2026-06-18,Uzbekistan,Colombia,Match Finished,90.0,1.0,3.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1539004,2026-06-18,Czechia,South Africa,Match Finished,90.0,1.0,1.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1539005,2026-06-18,Switzerland,Bosnia and Herzegovina,Match Finished,90.0,4.0,1.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489387,2026-06-18,Canada,Qatar,Match Finished,90.0,6.0,0.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489388,2026-06-19,Mexico,South Korea,Match Finished,90.0,1.0,0.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489391,2026-06-19,United States,Australia,Match Finished,90.0,2.0,0.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489390,2026-06-19,Scotland,Morocco,Match Finished,90.0,0.0,1.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489389,2026-06-20,Brazil,Haiti,Match Finished,90.0,3.0,0.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1539006,2026-06-20,Turkey,Paraguay,Match Finished,90.0,0.0,1.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1539007,2026-06-20,Netherlands,Sweden,Match Finished,90.0,5.0,1.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489393,2026-06-20,Germany,Ivory Coast,Match Finished,90.0,2.0,1.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489392,2026-06-21,Ecuador,Curacao,Match Finished,90.0,0.0,0.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489394,2026-06-21,Tunisia,Japan,Match Finished,90.0,0.0,4.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489397,2026-06-21,Spain,Saudi Arabia,Match Finished,90.0,4.0,0.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489395,2026-06-21,Belgium,Iran,Match Finished,90.0,0.0,0.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489398,2026-06-21,Uruguay,Cape Verde,Match Finished,90.0,2.0,2.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489396,2026-06-22,New Zealand,Egypt,Match Finished,90.0,1.0,3.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489399,2026-06-22,Argentina,Austria,Match Finished,90.0,2.0,0.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1539017,2026-06-22,France,Iraq,Match Finished,90.0,3.0,0.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489401,2026-06-23,Norway,Senegal,Match Finished,90.0,3.0,2.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489400,2026-06-23,Jordan,Algeria,Match Finished,90.0,1.0,2.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489404,2026-06-23,Portugal,Uzbekistan,Match Finished,90.0,5.0,0.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489402,2026-06-23,England,Ghana,Match Finished,90.0,0.0,0.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
