fixture_id,date,kickoff_time,status,minute,home_team,away_team,venue,stage,group,source,updated_at
1489377,2026-06-15,2026-06-15T19:00:00+00:00,Match Finished,90.0,Belgium,Egypt,Lumen Field,Group Stage - 1,Group Stage - 1,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489379,2026-06-15,2026-06-15T22:00:00+00:00,Match Finished,90.0,Saudi Arabia,Uruguay,Hard Rock Stadium,Group Stage - 1,Group Stage - 1,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489378,2026-06-16,2026-06-16T01:00:00+00:00,Match Finished,90.0,Iran,New Zealand,SoFi Stadium,Group Stage - 1,Group Stage - 1,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489383,2026-06-16,2026-06-16T19:00:00+00:00,Match Finished,90.0,France,Senegal,MetLife Stadium,Group Stage - 1,Group Stage - 1,api_football:/fixtures,2026-06-24T00:37:30+00:00
1539016,2026-06-16,2026-06-16T22:00:00+00:00,Match Finished,90.0,Iraq,Norway,Gillette Stadium,Group Stage - 1,Group Stage - 1,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489381,2026-06-17,2026-06-17T01:00:00+00:00,Match Finished,90.0,Argentina,Algeria,Arrowhead Stadium,Group Stage - 1,Group Stage - 1,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489382,2026-06-17,2026-06-17T04:00:00+00:00,Match Finished,90.0,Austria,Jordan,Levi's Stadium,Group Stage - 1,Group Stage - 1,api_football:/fixtures,2026-06-24T00:37:30+00:00
1539003,2026-06-17,2026-06-17T17:00:00+00:00,Match Finished,90.0,Portugal,DR Congo,NRG Stadium,Group Stage - 1,Group Stage - 1,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489384,2026-06-17,2026-06-17T20:00:00+00:00,Match Finished,90.0,England,Croatia,AT&T Stadium,Group Stage - 1,Group Stage - 1,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489385,2026-06-17,2026-06-17T23:00:00+00:00,Match Finished,90.0,Ghana,Panama,BMO Field,Group Stage - 1,Group Stage - 1,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489386,2026-06-18,2026-06-18T02:00:00+00:00,Match Finished,90.0,Uzbekistan,Colombia,Estadio Azteca,Group Stage - 1,Group Stage - 1,api_football:/fixtures,2026-06-24T00:37:30+00:00
