simulation_id,stage,match_slot,team_a,team_b,winner,loser
0,round_of_32,73,South Africa,Canada,South Africa,Canada
0,round_of_32,74,Germany,South Korea,Germany,South Korea
0,round_of_32,75,Scotland,Netherlands,Netherlands,Scotland
0,round_of_32,76,Japan,Brazil,Brazil,Japan
0,round_of_32,77,Norway,Morocco,Morocco,Norway
0,round_of_32,78,Mexico,Ecuador,Mexico,Ecuador
0,round_of_32,79,Ivory Coast,France,France,Ivory Coast
0,round_of_32,80,United States,Bosnia and Herzegovina,United States,Bosnia and Herzegovina
0,round_of_32,81,Egypt,Saudi Arabia,Saudi Arabia,Egypt
0,round_of_32,82,England,Austria,Austria,England
0,round_of_32,83,DR Congo,Croatia,Croatia,DR Congo
0,round_of_32,84,Switzerland,Sweden,Sweden,Switzerland
0,round_of_32,85,Uruguay,Algeria,Algeria,Uruguay
0,round_of_32,86,Colombia,Portugal,Colombia,Portugal
0,round_of_32,87,Argentina,Spain,Spain,Argentina
0,round_of_32,88,Australia,Belgium,Belgium,Australia
0,round_of_16,89,South Africa,Netherlands,Netherlands,South Africa
0,round_of_16,90,Germany,Morocco,Germany,Morocco
0,round_of_16,91,France,United States,France,United States
0,round_of_16,92,Brazil,Mexico,Brazil,Mexico
0,round_of_16,93,Saudi Arabia,Austria,Saudi Arabia,Austria
0,round_of_16,94,Croatia,Sweden,Sweden,Croatia
0,round_of_16,95,Algeria,Spain,Spain,Algeria
0,round_of_16,96,Colombia,Belgium,Belgium,Colombia
0,quarterfinal,97,Netherlands,Germany,Netherlands,Germany
0,quarterfinal,98,Saudi Arabia,Sweden,Saudi Arabia,Sweden
0,quarterfinal,99,France,Brazil,Brazil,France
0,quarterfinal,100,Spain,Belgium,Belgium,Spain
0,semifinal,101,Netherlands,Saudi Arabia,Netherlands,Saudi Arabia
0,semifinal,102,Brazil,Belgium,Brazil,Belgium
0,final,104,Netherlands,Brazil,Netherlands,Brazil
0,third_place,103,Saudi Arabia,Belgium,Belgium,Saudi Arabia
1,round_of_32,73,South Korea,Switzerland,Switzerland,South Korea
1,round_of_32,74,Germany,Bosnia and Herzegovina,Germany,Bosnia and Herzegovina
1,round_of_32,75,Scotland,Japan,Japan,Scotland
1,round_of_32,76,Netherlands,Brazil,Brazil,Netherlands
1,round_of_32,77,Norway,Morocco,Morocco,Norway
1,round_of_32,78,Mexico,Sweden,Mexico,Sweden
1,round_of_32,79,Ivory Coast,France,France,Ivory Coast
1,round_of_32,80,United States,Iraq,United States,Iraq
1,round_of_32,81,Egypt,Algeria,Algeria,Egypt
1,round_of_32,82,Ghana,Paraguay,Paraguay,Ghana
1,round_of_32,83,Portugal,Croatia,Croatia,Portugal
1,round_of_32,84,Canada,Iran,Canada,Iran
1,round_of_32,85,Spain,Austria,Spain,Austria
1,round_of_32,86,Colombia,Panama,Panama,Colombia
1,round_of_32,87,Argentina,Cape Verde,Argentina,Cape Verde
1,round_of_32,88,Australia,Belgium,Belgium,Australia
1,round_of_16,89,Switzerland,Japan,Japan,Switzerland
1,round_of_16,90,Germany,Morocco,Morocco,Germany
1,round_of_16,91,France,United States,France,United States
1,round_of_16,92,Brazil,Mexico,Mexico,Brazil
1,round_of_16,93,Algeria,Paraguay,Algeria,Paraguay
1,round_of_16,94,Croatia,Canada,Canada,Croatia
1,round_of_16,95,Spain,Argentina,Argentina,Spain
1,round_of_16,96,Panama,Belgium,Panama,Belgium
1,quarterfinal,97,Japan,Morocco,Japan,Morocco
1,quarterfinal,98,Algeria,Canada,Algeria,Canada
1,quarterfinal,99,France,Mexico,France,Mexico
1,quarterfinal,100,Argentina,Panama,Argentina,Panama
1,semifinal,101,Japan,Algeria,Japan,Algeria
1,semifinal,102,France,Argentina,Argentina,France
1,final,104,Japan,Argentina,Japan,Argentina
1,third_place,103,Algeria,France,France,Algeria
2,round_of_32,73,South Korea,Switzerland,South Korea,Switzerland
2,round_of_32,74,Germany,Bosnia and Herzegovina,Germany,Bosnia and Herzegovina
2,round_of_32,75,Brazil,Netherlands,Netherlands,Brazil
2,round_of_32,76,Japan,Morocco,Japan,Morocco
2,round_of_32,77,France,Paraguay,France,Paraguay
