stage,team_a,team_b,matchup_count,matchup_probability,team_a_wins,team_b_wins,team_a_win_probability,team_b_win_probability,n_sims
round_of_32,Japan,Norway,1213,0.01213,770,443,0.6347897774113768,0.36521022258862323,100000
round_of_32,Canada,England,1204,0.01204,309,895,0.25664451827242524,0.7433554817275747,100000
round_of_32,England,France,1165,0.01165,507,658,0.4351931330472103,0.5648068669527897,100000
round_of_32,France,Japan,1162,0.01162,802,360,0.6901893287435457,0.3098106712564544,100000
round_of_32,DR Congo,Switzerland,1157,0.01157,327,830,0.28262748487467587,0.7173725151253241,100000
round_of_32,Egypt,Iran,1146,0.01146,618,528,0.5392670157068062,0.4607329842931937,100000
round_of_32,Japan,South Korea,1128,0.01128,697,431,0.6179078014184397,0.3820921985815603,100000
round_of_32,Canada,Uzbekistan,1104,0.01104,656,448,0.5942028985507246,0.4057971014492754,100000
round_of_32,Cape Verde,Mexico,1086,0.01086,198,888,0.18232044198895028,0.8176795580110497,100000
round_of_32,England,Iran,1050,0.0105,752,298,0.7161904761904762,0.2838095238095238,100000
round_of_32,Australia,DR Congo,1049,0.01049,750,299,0.7149666348903718,0.28503336510962823,100000
round_of_32,Ecuador,Iraq,1028,0.01028,784,244,0.7626459143968871,0.23735408560311283,100000
round_of_32,Ghana,Senegal,1023,0.01023,219,804,0.21407624633431085,0.7859237536656891,100000
round_of_32,Canada,Colombia,989,0.00989,321,668,0.32457027300303337,0.6754297269969667,100000
round_of_32,Ivory Coast,South Korea,983,0.00983,406,577,0.41302136317395727,0.5869786368260427,100000
round_of_32,Portugal,Switzerland,976,0.00976,605,371,0.6198770491803278,0.3801229508196721,100000
round_of_32,Argentina,United States,971,0.00971,770,201,0.7929969104016478,0.2070030895983522,100000
round_of_32,Canada,Turkey,959,0.00959,444,515,0.4629822732012513,0.5370177267987487,100000
round_of_32,Canada,Japan,937,0.00937,327,610,0.3489861259338314,0.6510138740661686,100000
round_of_32,England,Paraguay,921,0.00921,706,215,0.7665580890336591,0.23344191096634093,100000
round_of_32,France,Iran,916,0.00916,706,210,0.7707423580786026,0.2292576419213974,100000
round_of_32,Argentina,Iran,911,0.00911,764,147,0.8386388583973655,0.16136114160263446,100000
round_of_32,Belgium,Uruguay,911,0.00911,470,441,0.5159165751920965,0.4840834248079034,100000
round_of_32,Australia,Switzerland,887,0.00887,442,445,0.4983089064261556,0.5016910935738444,100000
round_of_32,Netherlands,United States,870,0.0087,575,295,0.6609195402298851,0.3390804597701149,100000
round_of_32,Croatia,England,839,0.00839,371,468,0.44219308700834326,0.5578069129916567,100000
round_of_32,Argentina,Ghana,816,0.00816,775,41,0.9497549019607843,0.05024509803921569,100000
round_of_32,France,Haiti,815,0.00815,757,58,0.9288343558282208,0.07116564417177915,100000
round_of_32,Egypt,Ghana,811,0.00811,567,244,0.6991368680641183,0.3008631319358816,100000
round_of_32,England,Switzerland,786,0.00786,545,241,0.693384223918575,0.30661577608142493,100000
round_of_32,Algeria,Canada,785,0.00785,403,382,0.513375796178344,0.48662420382165605,100000
round_of_32,Mexico,Spain,781,0.00781,227,554,0.2906530089628681,0.7093469910371318,100000
round_of_32,Haiti,Norway,775,0.00775,158,617,0.20387096774193547,0.7961290322580645,100000
round_of_32,Mexico,Saudi Arabia,751,0.00751,619,132,0.8242343541944075,0.17576564580559254,100000
round_of_32,Canada,Jordan,725,0.00725,466,259,0.6427586206896552,0.35724137931034483,100000
round_of_32,DR Congo,Uzbekistan,701,0.00701,329,372,0.4693295292439372,0.5306704707560628,100000
round_of_32,England,New Zealand,694,0.00694,584,110,0.8414985590778098,0.1585014409221902,100000
round_of_32,Curaçao,South Korea,691,0.00691,142,549,0.20549927641099855,0.7945007235890015,100000
round_of_32,Croatia,Ghana,686,0.00686,453,233,0.6603498542274052,0.3396501457725947,100000
round_of_32,DR Congo,Turkey,662,0.00662,205,457,0.30966767371601206,0.6903323262839879,100000
round_of_32,Scotland,Senegal,660,0.0066,264,396,0.4,0.6,100000
round_of_32,Switzerland,Uzbekistan,654,0.00654,418,236,0.6391437308868502,0.36085626911314983,100000
round_of_32,Austria,Canada,649,0.00649,351,298,0.5408320493066255,0.4591679506933744,100000
round_of_32,Paraguay,Uzbekistan,639,0.00639,371,268,0.5805946791862285,0.4194053208137715,100000
round_of_32,Belgium,Cape Verde,633,0.00633,497,136,0.7851500789889415,0.21484992101105846,100000
round_of_32,Ghana,Iraq,623,0.00623,283,340,0.45425361155698235,0.5457463884430177,100000
round_of_32,England,Panama,618,0.00618,418,200,0.6763754045307443,0.32362459546925565,100000
round_of_32,Japan,Switzerland,606,0.00606,367,239,0.6056105610561056,0.3943894389438944,100000
round_of_32,Colombia,Switzerland,577,0.00577,354,223,0.6135181975736569,0.38648180242634317,100000
round_of_32,Colombia,Iran,562,0.00562,368,194,0.6548042704626335,0.34519572953736655,100000
round_of_32,Belgium,England,557,0.00557,187,370,0.3357271095152603,0.6642728904847397,100000
round_of_32,Switzerland,Turkey,535,0.00535,292,243,0.5457943925233645,0.4542056074766355,100000
round_of_32,Jordan,Saudi Arabia,533,0.00533,303,230,0.5684803001876173,0.43151969981238275,100000
round_of_32,DR Congo,Egypt,527,0.00527,226,301,0.428842504743833,0.571157495256167,100000
round_of_32,Egypt,Portugal,513,0.00513,140,373,0.2729044834307992,0.7270955165692008,100000
round_of_32,Colombia,Egypt,493,0.00493,370,123,0.7505070993914807,0.24949290060851928,100000
round_of_32,Belgium,Jordan,479,0.00479,341,138,0.7118997912317327,0.2881002087682672,100000
round_of_32,Algeria,Saudi Arabia,473,0.00473,319,154,0.6744186046511628,0.32558139534883723,100000
round_of_32,Belgium,Senegal,470,0.0047,268,202,0.5702127659574469,0.4297872340425532,100000
round_of_32,Belgium,Spain,465,0.00465,125,340,0.26881720430107525,0.7311827956989247,100000
round_of_32,Ghana,Norway,460,0.0046,100,360,0.21739130434782608,0.782608695652174,100000
round_of_32,Jordan,Switzerland,457,0.00457,138,319,0.30196936542669583,0.6980306345733042,100000
round_of_32,Ghana,Iran,445,0.00445,102,343,0.2292134831460674,0.7707865168539326,100000
round_of_32,Belgium,Egypt,439,0.00439,238,201,0.5421412300683371,0.45785876993166286,100000
round_of_32,Algeria,Croatia,437,0.00437,179,258,0.4096109839816934,0.5903890160183066,100000
round_of_32,Ghana,Panama,429,0.00429,176,253,0.41025641025641024,0.5897435897435898,100000
round_of_32,Iraq,Scotland,425,0.00425,175,250,0.4117647058823529,0.5882352941176471,100000
round_of_32,Iran,New Zealand,418,0.00418,201,217,0.48086124401913877,0.5191387559808612,100000
round_of_32,Belgium,Saudi Arabia,415,0.00415,321,94,0.7734939759036145,0.22650602409638554,100000
round_of_32,Austria,Belgium,412,0.00412,179,233,0.4344660194174757,0.5655339805825242,100000
round_of_32,Croatia,Egypt,411,0.00411,266,145,0.6472019464720195,0.35279805352798055,100000
round_of_32,Algeria,Switzerland,407,0.00407,191,216,0.4692874692874693,0.5307125307125307,100000
round_of_32,Algeria,Belgium,403,0.00403,167,236,0.4143920595533499,0.5856079404466501,100000
round_of_32,Germany,Haiti,396,0.00396,351,45,0.8863636363636364,0.11363636363636363,100000
round_of_32,England,Japan,388,0.00388,253,135,0.6520618556701031,0.3479381443298969,100000
round_of_32,Austria,Croatia,375,0.00375,170,205,0.4533333333333333,0.5466666666666666,100000
round_of_32,Austria,Switzerland,374,0.00374,159,215,0.42513368983957217,0.5748663101604278,100000
round_of_32,Croatia,Jordan,365,0.00365,263,102,0.7205479452054795,0.27945205479452057,100000
round_of_32,Australia,Uzbekistan,351,0.00351,214,137,0.6096866096866097,0.3903133903133903,100000
round_of_32,Algeria,Panama,350,0.0035,182,168,0.52,0.48,100000
round_of_32,Iran,Portugal,350,0.0035,125,225,0.35714285714285715,0.6428571428571429,100000
round_of_32,Jordan,Panama,350,0.0035,145,205,0.4142857142857143,0.5857142857142857,100000
round_of_32,England,Sweden,338,0.00338,280,58,0.8284023668639053,0.17159763313609466,100000
round_of_32,France,Ghana,328,0.00328,304,24,0.926829268292683,0.07317073170731707,100000
round_of_32,Colombia,Jordan,320,0.0032,249,71,0.778125,0.221875,100000
round_of_32,Ghana,Paraguay,317,0.00317,94,223,0.29652996845425866,0.7034700315457413,100000
round_of_32,DR Congo,Iran,311,0.00311,107,204,0.3440514469453376,0.6559485530546624,100000
round_of_32,Germany,Paraguay,306,0.00306,210,96,0.6862745098039216,0.3137254901960784,100000
round_of_32,Algeria,Colombia,303,0.00303,106,197,0.34983498349834985,0.6501650165016502,100000
round_of_32,Austria,Panama,300,0.003,193,107,0.6433333333333333,0.3566666666666667,100000
round_of_32,Austria,Colombia,292,0.00292,85,207,0.2910958904109589,0.708904109589041,100000
