segment_name,segment_value,n_matches,official_log_loss,bookmaker_log_loss,mean_log_loss_delta,ci_lower,ci_upper,statistically_meaningful,official_brier,bookmaker_brier,brier_delta,official_rps,bookmaker_rps,rps_delta,official_accuracy,bookmaker_accuracy,interpretation
close_match_probability_bucket,moderate_0.50-0.60,43,1.0169786654897792,0.967490998993565,0.04948766649621441,-0.03663301951731048,0.12698561930219598,False,0.6051320159106043,0.5725455979227608,0.03258641798784349,0.212138532004771,0.1957052733953371,0.016433258609433826,0.5581395348837209,0.5813953488372093,bookmaker_better_mean_ci_crosses_zero
group_vs_knockout,knockout,47,0.9682958095154833,0.92020293188367,0.0480928776318135,-0.01992990863840848,0.10863128895660196,False,0.5786365308239179,0.5462833000130488,0.032353230810868876,0.19369199843304222,0.1790622524201103,0.014629746012931901,0.48936170212765956,0.5957446808510638,bookmaker_better_mean_ci_crosses_zero
bookmaker_predicted_result_type,away,74,1.052058995789873,1.00706918774665,0.04498980804322246,-0.019262057239636556,0.11279712381935612,False,0.6280859337091365,0.5958276663766817,0.032258267332454904,0.2203532370935947,0.20634986290782473,0.014003374185769985,0.5,0.527027027027027,bookmaker_better_mean_ci_crosses_zero
market_favorite_type,away_favorite,74,1.052058995789873,1.00706918774665,0.04498980804322246,-0.019262057239636556,0.11279712381935612,False,0.6280859337091365,0.5958276663766817,0.032258267332454904,0.2203532370935947,0.20634986290782473,0.014003374185769985,0.5,0.527027027027027,bookmaker_better_mean_ci_crosses_zero
official_predicted_result_type,away,79,1.0429854601911794,1.0013939070702527,0.04159155312092643,-0.02926028345725792,0.10812999872364064,False,0.621627775670364,0.5916747380654256,0.029953037604938445,0.22513183041420937,0.2131673722780769,0.011964458136132545,0.4936708860759494,0.5316455696202531,bookmaker_better_mean_ci_crosses_zero
group_vs_knockout,group_stage,141,1.0178435558341583,0.9818884777638451,0.035955078070313305,-0.012568828100255494,0.08392533152130624,False,0.601395968807481,0.5774864647864094,0.023909504021071712,0.2190040386419609,0.20928401995898396,0.009720018682976988,0.5177304964539007,0.5390070921985816,bookmaker_better_mean_ci_crosses_zero
stage,group_stage,141,1.0178435558341583,0.9818884777638451,0.035955078070313305,-0.012568828100255494,0.08392533152130624,False,0.601395968807481,0.5774864647864094,0.023909504021071712,0.2190040386419609,0.20928401995898396,0.009720018682976988,0.5177304964539007,0.5390070921985816,bookmaker_better_mean_ci_crosses_zero
tournament_year,2018,62,0.9718632112817095,0.935958553136967,0.03590465814474262,-0.03343677304314736,0.10807090461006345,False,0.5830417544068218,0.5515248344885412,0.031516919918280914,0.20710643695383327,0.19650959651457534,0.010596840439257947,0.5161290322580645,0.5645161290322581,bookmaker_better_mean_ci_crosses_zero
bookmaker_predicted_result_type,home,114,0.9752059537841532,0.9401113444735307,0.03509460931062235,-0.013528280238500024,0.08526315631841593,False,0.5746876268079198,0.5527163098563384,0.021971316951581454,0.20769257745564448,0.198728796691078,0.008963780764566453,0.5175438596491229,0.5701754385964912,bookmaker_better_mean_ci_crosses_zero
market_favorite_type,home_favorite,114,0.9752059537841532,0.9401113444735307,0.03509460931062235,-0.013528280238500024,0.08526315631841593,False,0.5746876268079198,0.5527163098563384,0.021971316951581454,0.20769257745564448,0.198728796691078,0.008963780764566453,0.5175438596491229,0.5701754385964912,bookmaker_better_mean_ci_crosses_zero
official_confidence_bucket,0.00-0.40,20,1.1070794121078387,1.072297240540035,0.034782171567803444,-0.07318368520129541,0.13632555379745967,False,0.6712822306702362,0.6478859324204385,0.023396298249797713,0.22970980451500528,0.22137786991055192,0.008331934604453337,0.35,0.45,bookmaker_better_mean_ci_crosses_zero
prediction_agreement,same_prediction,154,0.985918822611703,0.953464286937066,0.03245453567463672,-0.00663772509800229,0.074064377823221,False,0.5806372727042124,0.5600465510899746,0.020590721614237847,0.2047992356192853,0.19601944681731473,0.008779788801970608,0.5584415584415584,0.5584415584415584,bookmaker_better_mean_ci_crosses_zero
official_predicted_result_type,home,101,0.9691802791097256,0.9381852374421689,0.03099504166755663,-0.020520453874292105,0.08051066445979733,False,0.5697875422351647,0.5520181197785683,0.01776942245659643,0.20211215869584176,0.19317526125490228,0.008936897440939463,0.5445544554455446,0.5742574257425742,bookmaker_better_mean_ci_crosses_zero
official_market_confidence_gap_bucket,similar,66,0.9651192491277352,0.9352341367607712,0.029885112366963895,-0.012371332164628508,0.06993388338652194,False,0.5764420694329618,0.5587891282236302,0.01765294120933147,0.19324732951304616,0.18393184080027264,0.009315488712773505,0.48484848484848486,0.5757575757575758,bookmaker_better_mean_ci_crosses_zero
bookmaker_confidence_bucket,0.40-0.50,46,1.0263591296676118,0.999824311913724,0.026534817753887708,-0.041289599597633966,0.09976023681884462,False,0.6200975713678227,0.5982831834638214,0.021814387904001427,0.22458093313525412,0.21330211742417374,0.011278815711080402,0.391304347826087,0.5652173913043478,bookmaker_better_mean_ci_crosses_zero
close_match_probability_bucket,close_0.40-0.50,46,1.0263591296676118,0.999824311913724,0.026534817753887708,-0.041289599597633966,0.09976023681884462,False,0.6200975713678227,0.5982831834638214,0.021814387904001427,0.22458093313525412,0.21330211742417374,0.011278815711080402,0.391304347826087,0.5652173913043478,bookmaker_better_mean_ci_crosses_zero
official_market_confidence_gap_bucket,official_higher,39,0.9964637858813082,0.9829769749405765,0.013486810940731703,-0.06880402966873274,0.10049068312187917,False,0.58376375099299,0.5839248180577272,-0.0001610670647370837,0.21369678878482765,0.21505993054545344,-0.0013631417606257846,0.5384615384615384,0.5128205128205128,bookmaker_better_mean_ci_crosses_zero
actual_result_type,away,67,0.9979155615358579,0.9850824179193797,0.012833143616478197,-0.05724133690819634,0.0901386255297397,False,0.5795857765606546,0.5658731193099971,0.01371265725065763,0.2551345358681991,0.24771633113268043,0.007418204735518691,0.582089552238806,0.582089552238806,bookmaker_better_mean_ci_crosses_zero
official_market_confidence_gap_bucket,market_higher,63,0.9852733264977394,0.9725719064806266,0.012701420017112807,-0.06154590063962756,0.08853971027247225,False,0.5809293263032547,0.5612834217466383,0.019645904556616398,0.21225688777378243,0.20325353887174435,0.009003348902038022,0.5555555555555556,0.6031746031746031,bookmaker_better_mean_ci_crosses_zero
tournament_year,2014,63,0.9559875364967557,0.952306951042265,0.0036805854544906,-0.04546777723415311,0.05796345983575558,False,0.5629226125258118,0.5654441748357657,-0.002521562309953886,0.19748440039608467,0.19820855728400116,-0.0007241568879164956,0.5396825396825397,0.5714285714285714,bookmaker_better_mean_ci_crosses_zero
