model_name,test_year,bucket,mean_confidence,empirical_accuracy,count,calibration_gap
elo_only,2022,"(0.6,0.7]",0.6548530438024662,0.6666666666666666,9,0.011813622864200402
elo_only,2022,"(0.7,0.8]",0.7510582101007396,0.6666666666666666,9,-0.08439154343407296
elo_only,2022,"(0.8,0.9]",,,0,
elo_only,2022,"(0.9,1.0]",,,0,
fifa_ranking_only,2014,"(0.0,0.1]",,,0,
fifa_ranking_only,2014,"(0.1,0.2]",,,0,
fifa_ranking_only,2014,"(0.2,0.3]",,,0,
fifa_ranking_only,2014,"(0.3,0.4]",0.39313575636536824,0.25,4,-0.14313575636536824
fifa_ranking_only,2014,"(0.4,0.5]",0.45138910011808414,0.2,20,-0.25138910011808413
fifa_ranking_only,2014,"(0.5,0.6]",0.5407716560629078,0.65,20,0.10922834393709224
fifa_ranking_only,2014,"(0.6,0.7]",0.658920861429352,0.5833333333333334,12,-0.07558752809601865
fifa_ranking_only,2014,"(0.7,0.8]",0.7435235049962527,0.42857142857142855,7,-0.3149520764248242
fifa_ranking_only,2014,"(0.8,0.9]",0.8002078334182005,0.0,1,-0.8002078334182005
fifa_ranking_only,2014,"(0.9,1.0]",,,0,
fifa_ranking_only,2018,"(0.0,0.1]",,,0,
fifa_ranking_only,2018,"(0.1,0.2]",,,0,
fifa_ranking_only,2018,"(0.2,0.3]",,,0,
fifa_ranking_only,2018,"(0.3,0.4]",0.3800568927918648,0.5,4,0.11994310720813522
fifa_ranking_only,2018,"(0.4,0.5]",0.44580011612474196,0.6086956521739131,23,0.16289553604917112
fifa_ranking_only,2018,"(0.5,0.6]",0.5335602162441625,0.5625,16,0.0289397837558375
fifa_ranking_only,2018,"(0.6,0.7]",0.6583412971459135,0.5,6,-0.1583412971459135
fifa_ranking_only,2018,"(0.7,0.8]",0.7777438464182104,0.6,5,-0.1777438464182104
fifa_ranking_only,2018,"(0.8,0.9]",0.8414751813308357,0.4444444444444444,9,-0.39703073688639123
fifa_ranking_only,2018,"(0.9,1.0]",0.9042804607073516,1.0,1,0.09571953929264843
fifa_ranking_only,2022,"(0.0,0.1]",,,0,
fifa_ranking_only,2022,"(0.1,0.2]",,,0,
fifa_ranking_only,2022,"(0.2,0.3]",,,0,
fifa_ranking_only,2022,"(0.3,0.4]",0.3807221730380995,0.5,4,0.11927782696190048
fifa_ranking_only,2022,"(0.4,0.5]",0.4602000016131509,0.43478260869565216,23,-0.025417392917498727
fifa_ranking_only,2022,"(0.5,0.6]",0.5458879995129182,0.3333333333333333,12,-0.2125546661795849
fifa_ranking_only,2022,"(0.6,0.7]",0.6551570868831651,0.3333333333333333,6,-0.3218237535498318
fifa_ranking_only,2022,"(0.7,0.8]",0.7567962076745635,1.0,6,0.24320379232543654
fifa_ranking_only,2022,"(0.8,0.9]",0.8536008233442534,0.6666666666666666,9,-0.18693415667758673
fifa_ranking_only,2022,"(0.9,1.0]",0.9203687130680482,0.75,4,-0.17036871306804824
historical_class_frequency,2014,"(0.0,0.1]",,,0,
historical_class_frequency,2014,"(0.1,0.2]",,,0,
historical_class_frequency,2014,"(0.2,0.3]",,,0,
historical_class_frequency,2014,"(0.3,0.4]",,,0,
historical_class_frequency,2014,"(0.4,0.5]",0.4937534666279285,0.453125,64,-0.04062846662792852
historical_class_frequency,2014,"(0.5,0.6]",,,0,
historical_class_frequency,2014,"(0.6,0.7]",,,0,
historical_class_frequency,2014,"(0.7,0.8]",,,0,
historical_class_frequency,2014,"(0.8,0.9]",,,0,
historical_class_frequency,2014,"(0.9,1.0]",,,0,
historical_class_frequency,2018,"(0.0,0.1]",,,0,
historical_class_frequency,2018,"(0.1,0.2]",,,0,
historical_class_frequency,2018,"(0.2,0.3]",,,0,
historical_class_frequency,2018,"(0.3,0.4]",,,0,
historical_class_frequency,2018,"(0.4,0.5]",0.4922068253320205,0.390625,64,-0.10158182533202048
historical_class_frequency,2018,"(0.5,0.6]",,,0,
historical_class_frequency,2018,"(0.6,0.7]",,,0,
historical_class_frequency,2018,"(0.7,0.8]",,,0,
historical_class_frequency,2018,"(0.8,0.9]",,,0,
historical_class_frequency,2018,"(0.9,1.0]",,,0,
historical_class_frequency,2022,"(0.0,0.1]",,,0,
historical_class_frequency,2022,"(0.1,0.2]",,,0,
historical_class_frequency,2022,"(0.2,0.3]",,,0,
historical_class_frequency,2022,"(0.3,0.4]",,,0,
historical_class_frequency,2022,"(0.4,0.5]",0.4915098468271335,0.4375,64,-0.0540098468271335
historical_class_frequency,2022,"(0.5,0.6]",,,0,
historical_class_frequency,2022,"(0.6,0.7]",,,0,
historical_class_frequency,2022,"(0.7,0.8]",,,0,
historical_class_frequency,2022,"(0.8,0.9]",,,0,
historical_class_frequency,2022,"(0.9,1.0]",,,0,
market_blend,2014,"(0.0,0.1]",,,0,
market_blend,2014,"(0.1,0.2]",,,0,
market_blend,2014,"(0.2,0.3]",,,0,
market_blend,2014,"(0.3,0.4]",0.37331981564810035,0.3333333333333333,12,-0.039986482314767036
market_blend,2014,"(0.4,0.5]",0.454882971518455,0.6875,16,0.23261702848154497
market_blend,2014,"(0.5,0.6]",0.5402509371195718,0.5,14,-0.04025093711957184
market_blend,2014,"(0.6,0.7]",0.6441495289832894,0.5833333333333334,12,-0.060816195649955995
market_blend,2014,"(0.7,0.8]",0.7353713260271433,0.75,8,0.01462867397285672
market_blend,2014,"(0.8,0.9]",0.8394975270276186,1.0,1,0.1605024729723814
market_blend,2014,"(0.9,1.0]",,,0,
market_blend,2018,"(0.0,0.1]",,,0,
market_blend,2018,"(0.1,0.2]",,,0,
market_blend,2018,"(0.2,0.3]",,,0,
market_blend,2018,"(0.3,0.4]",0.37487093066508304,0.36363636363636365,11,-0.011234567028719389
market_blend,2018,"(0.4,0.5]",0.45329813117972945,0.4117647058823529,17,-0.041533425297376525
market_blend,2018,"(0.5,0.6]",0.5448258216117182,0.75,12,0.20517417838828178
market_blend,2018,"(0.6,0.7]",0.6487746969114886,0.6666666666666666,12,0.01789196975517804
market_blend,2018,"(0.7,0.8]",0.7543544502600286,0.6666666666666666,6,-0.08768778359336193
market_blend,2018,"(0.8,0.9]",0.8103967524967475,0.75,4,-0.060396752496747474
market_blend,2018,"(0.9,1.0]",,,0,
market_blend,2022,"(0.0,0.1]",,,0,
market_blend,2022,"(0.1,0.2]",,,0,
market_blend,2022,"(0.2,0.3]",,,0,
market_blend,2022,"(0.3,0.4]",0.3758361114197435,0.1111111111111111,9,-0.2647250003086324
market_blend,2022,"(0.4,0.5]",0.4569835321864453,0.6153846153846154,13,0.15840108319817015
market_blend,2022,"(0.5,0.6]",0.5531729485215282,0.5294117647058824,17,-0.023761183815645848
market_blend,2022,"(0.6,0.7]",0.6517458412532233,0.5625,16,-0.08924584125322332
market_blend,2022,"(0.7,0.8]",0.7528191853049142,0.8,5,0.04718081469508584
market_blend,2022,"(0.8,0.9]",0.8536483168656788,0.6666666666666666,3,-0.18698165019901214
market_blend,2022,"(0.9,1.0]",,,0,
official_model,2014,"(0.0,0.1]",,,0,
official_model,2014,"(0.1,0.2]",,,0,
official_model,2014,"(0.2,0.3]",,,0,
official_model,2014,"(0.3,0.4]",0.3809120973618694,0.16666666666666666,6,-0.21424543069520272
official_model,2014,"(0.4,0.5]",0.4533292091780461,0.39285714285714285,28,-0.06047206632090324
official_model,2014,"(0.5,0.6]",0.5456785623575484,0.8125,16,0.2668214376424516
official_model,2014,"(0.6,0.7]",0.6589247558664584,0.6,10,-0.0589247558664584
official_model,2014,"(0.7,0.8]",0.7629812450050807,1.0,4,0.2370187549949193
official_model,2014,"(0.8,0.9]",,,0,
official_model,2014,"(0.9,1.0]",,,0,
official_model,2018,"(0.0,0.1]",,,0,
official_model,2018,"(0.1,0.2]",,,0,
official_model,2018,"(0.2,0.3]",,,0,
official_model,2018,"(0.3,0.4]",0.3775169627944923,0.4444444444444444,9,0.0669274816499521
official_model,2018,"(0.4,0.5]",0.440393637426013,0.3333333333333333,21,-0.10706030409267969
official_model,2018,"(0.5,0.6]",0.5535772145335729,0.5789473684210527,19,0.025370153887479763
official_model,2018,"(0.6,0.7]",0.6409748423986478,0.5555555555555556,9,-0.08541928684309219
official_model,2018,"(0.7,0.8]",0.7501313338392791,0.8333333333333334,6,0.08320199949405427
official_model,2018,"(0.8,0.9]",,,0,
official_model,2018,"(0.9,1.0]",,,0,
official_model,2022,"(0.0,0.1]",,,0,
official_model,2022,"(0.1,0.2]",,,0,
official_model,2022,"(0.2,0.3]",,,0,
official_model,2022,"(0.3,0.4]",0.3854005996334494,0.4,5,0.014599400366550608
official_model,2022,"(0.4,0.5]",0.44793797850755834,0.42105263157894735,19,-0.026885346928610998
official_model,2022,"(0.5,0.6]",0.5500301215108052,0.25,16,-0.3000301215108052
official_model,2022,"(0.6,0.7]",0.6537950947307061,0.7222222222222222,18,0.06842712749151614
official_model,2022,"(0.7,0.8]",0.7213912062672202,0.8,5,0.07860879373277985
official_model,2022,"(0.8,0.9]",0.8765353557135449,0.0,1,-0.8765353557135449
official_model,2022,"(0.9,1.0]",,,0,
poisson_goal_model,2014,"(0.0,0.1]",,,0,
poisson_goal_model,2014,"(0.1,0.2]",,,0,
poisson_goal_model,2014,"(0.2,0.3]",,,0,
poisson_goal_model,2014,"(0.3,0.4]",0.3745064266410259,0.0,6,-0.3745064266410259
poisson_goal_model,2014,"(0.4,0.5]",0.46240626638698296,0.4,20,-0.062406266386982934
poisson_goal_model,2014,"(0.5,0.6]",0.5449477284913024,0.4090909090909091,22,-0.13585681940039324
poisson_goal_model,2014,"(0.6,0.7]",0.6431734440702823,0.5454545454545454,11,-0.0977188986157369
poisson_goal_model,2014,"(0.7,0.8]",0.7359973918959922,0.4,5,-0.3359973918959922
poisson_goal_model,2014,"(0.8,0.9]",,,0,
poisson_goal_model,2014,"(0.9,1.0]",,,0,
poisson_goal_model,2018,"(0.0,0.1]",,,0,
poisson_goal_model,2018,"(0.1,0.2]",,,0,
poisson_goal_model,2018,"(0.2,0.3]",,,0,
poisson_goal_model,2018,"(0.3,0.4]",0.38115498238122103,0.25,8,-0.13115498238122103
poisson_goal_model,2018,"(0.4,0.5]",0.4483924792216401,0.4583333333333333,24,0.00994085411169321
poisson_goal_model,2018,"(0.5,0.6]",0.5425072090514285,0.4,20,-0.14250720905142844
poisson_goal_model,2018,"(0.6,0.7]",0.6464090813194199,0.42857142857142855,7,-0.21783765274799133
poisson_goal_model,2018,"(0.7,0.8]",0.7318357757615581,0.4,5,-0.3318357757615581
poisson_goal_model,2018,"(0.8,0.9]",,,0,
poisson_goal_model,2018,"(0.9,1.0]",,,0,
poisson_goal_model,2022,"(0.0,0.1]",,,0,
poisson_goal_model,2022,"(0.1,0.2]",,,0,
poisson_goal_model,2022,"(0.2,0.3]",,,0,
poisson_goal_model,2022,"(0.3,0.4]",0.3824664659221403,0.36363636363636365,11,-0.01883010228577664
poisson_goal_model,2022,"(0.4,0.5]",0.456812492052847,0.4,25,-0.056812492052847
poisson_goal_model,2022,"(0.5,0.6]",0.5511038552273146,0.5,18,-0.05110385522731464
poisson_goal_model,2022,"(0.6,0.7]",0.6424027705540996,0.75,4,0.10759722944590044
poisson_goal_model,2022,"(0.7,0.8]",0.727070243090746,0.5,6,-0.22707024309074597
poisson_goal_model,2022,"(0.8,0.9]",,,0,
poisson_goal_model,2022,"(0.9,1.0]",,,0,
random_uniform,2014,"(0.0,0.1]",,,0,
random_uniform,2014,"(0.1,0.2]",,,0,
random_uniform,2014,"(0.2,0.3]",,,0,
random_uniform,2014,"(0.3,0.4]",0.3333333333333333,0.34375,64,0.010416666666666685
random_uniform,2014,"(0.4,0.5]",,,0,
random_uniform,2014,"(0.5,0.6]",,,0,
random_uniform,2014,"(0.6,0.7]",,,0,
random_uniform,2014,"(0.7,0.8]",,,0,
random_uniform,2014,"(0.8,0.9]",,,0,
random_uniform,2014,"(0.9,1.0]",,,0,
random_uniform,2018,"(0.0,0.1]",,,0,
random_uniform,2018,"(0.1,0.2]",,,0,
random_uniform,2018,"(0.2,0.3]",,,0,
random_uniform,2018,"(0.3,0.4]",0.3333333333333333,0.40625,64,0.07291666666666669
random_uniform,2018,"(0.4,0.5]",,,0,
random_uniform,2018,"(0.5,0.6]",,,0,
random_uniform,2018,"(0.6,0.7]",,,0,
random_uniform,2018,"(0.7,0.8]",,,0,
random_uniform,2018,"(0.8,0.9]",,,0,
random_uniform,2018,"(0.9,1.0]",,,0,
random_uniform,2022,"(0.0,0.1]",,,0,
random_uniform,2022,"(0.1,0.2]",,,0,
random_uniform,2022,"(0.2,0.3]",,,0,
random_uniform,2022,"(0.3,0.4]",0.3333333333333333,0.328125,64,-0.005208333333333315
random_uniform,2022,"(0.4,0.5]",,,0,
random_uniform,2022,"(0.5,0.6]",,,0,
random_uniform,2022,"(0.6,0.7]",,,0,
random_uniform,2022,"(0.7,0.8]",,,0,
random_uniform,2022,"(0.8,0.9]",,,0,
random_uniform,2022,"(0.9,1.0]",,,0,
rolling_form_only,2014,"(0.0,0.1]",,,0,
rolling_form_only,2014,"(0.1,0.2]",,,0,
rolling_form_only,2014,"(0.2,0.3]",,,0,
rolling_form_only,2014,"(0.3,0.4]",0.38665941198849924,0.5714285714285714,7,0.18476915944007216
