model_name,test_year,stage,bucket,mean_confidence,empirical_accuracy,count,calibration_gap
elo_only,all,round_of_16,"(0.4,0.5]",0.4337011290762671,0.3333333333333333,6,-0.10036779574293381
elo_only,all,round_of_16,"(0.5,0.6]",0.5533165391971288,0.75,8,0.19668346080287125
elo_only,all,round_of_16,"(0.6,0.7]",0.6618981421212382,0.8,5,0.13810185787876184
elo_only,all,round_of_16,"(0.7,0.8]",0.7568035216227501,1.0,1,0.2431964783772499
elo_only,all,round_of_16,"(0.8,0.9]",0.8028939806861465,1.0,1,0.19710601931385352
elo_only,all,round_of_16,"(0.9,1.0]",,,0,
elo_only,all,semifinal,"(0.0,0.1]",,,0,
elo_only,all,semifinal,"(0.1,0.2]",,,0,
elo_only,all,semifinal,"(0.2,0.3]",,,0,
elo_only,all,semifinal,"(0.3,0.4]",0.3812213379220691,0.0,1,-0.3812213379220691
elo_only,all,semifinal,"(0.4,0.5]",0.43902739093560134,0.3333333333333333,3,-0.10569405760226802
elo_only,all,semifinal,"(0.5,0.6]",,,0,
elo_only,all,semifinal,"(0.6,0.7]",0.6741931917315279,1.0,2,0.3258068082684721
elo_only,all,semifinal,"(0.7,0.8]",,,0,
elo_only,all,semifinal,"(0.8,0.9]",,,0,
elo_only,all,semifinal,"(0.9,1.0]",,,0,
elo_only,all,third_place,"(0.0,0.1]",,,0,
elo_only,all,third_place,"(0.1,0.2]",,,0,
elo_only,all,third_place,"(0.2,0.3]",,,0,
elo_only,all,third_place,"(0.3,0.4]",0.3924781945934804,0.0,1,-0.3924781945934804
elo_only,all,third_place,"(0.4,0.5]",0.44723635994515665,1.0,2,0.5527636400548434
elo_only,all,third_place,"(0.5,0.6]",,,0,
elo_only,all,third_place,"(0.6,0.7]",,,0,
elo_only,all,third_place,"(0.7,0.8]",,,0,
elo_only,all,third_place,"(0.8,0.9]",,,0,
elo_only,all,third_place,"(0.9,1.0]",,,0,
fifa_ranking_only,all,final,"(0.0,0.1]",,,0,
fifa_ranking_only,all,final,"(0.1,0.2]",,,0,
fifa_ranking_only,all,final,"(0.2,0.3]",,,0,
fifa_ranking_only,all,final,"(0.3,0.4]",0.36510534852101056,0.0,1,-0.36510534852101056
fifa_ranking_only,all,final,"(0.4,0.5]",0.4464752571716632,1.0,1,0.5535247428283367
fifa_ranking_only,all,final,"(0.5,0.6]",,,0,
fifa_ranking_only,all,final,"(0.6,0.7]",0.6929818758153314,1.0,1,0.30701812418466856
fifa_ranking_only,all,final,"(0.7,0.8]",,,0,
fifa_ranking_only,all,final,"(0.8,0.9]",,,0,
fifa_ranking_only,all,final,"(0.9,1.0]",,,0,
fifa_ranking_only,all,group_stage,"(0.0,0.1]",,,0,
fifa_ranking_only,all,group_stage,"(0.1,0.2]",,,0,
fifa_ranking_only,all,group_stage,"(0.2,0.3]",,,0,
fifa_ranking_only,all,group_stage,"(0.3,0.4]",0.3896211600978367,0.375,8,-0.014621160097836705
fifa_ranking_only,all,group_stage,"(0.4,0.5]",0.45437099442670154,0.4166666666666667,48,-0.03770432776003485
fifa_ranking_only,all,group_stage,"(0.5,0.6]",0.5400215970491977,0.6111111111111112,36,0.07108951406191344
fifa_ranking_only,all,group_stage,"(0.6,0.7]",0.6497548574881201,0.4375,16,-0.21225485748812012
fifa_ranking_only,all,group_stage,"(0.7,0.8]",0.7578615201671208,0.6875,16,-0.07036152016712083
fifa_ranking_only,all,group_stage,"(0.8,0.9]",0.8450469408154739,0.5263157894736842,19,-0.31873115134178975
fifa_ranking_only,all,group_stage,"(0.9,1.0]",0.9241232384425166,0.0,1,-0.9241232384425166
fifa_ranking_only,all,quarterfinal,"(0.0,0.1]",,,0,
fifa_ranking_only,all,quarterfinal,"(0.1,0.2]",,,0,
fifa_ranking_only,all,quarterfinal,"(0.2,0.3]",,,0,
fifa_ranking_only,all,quarterfinal,"(0.3,0.4]",0.3738602082101125,1.0,1,0.6261397917898874
fifa_ranking_only,all,quarterfinal,"(0.4,0.5]",0.43628843970923653,0.5,6,0.06371156029076347
fifa_ranking_only,all,quarterfinal,"(0.5,0.6]",0.5413937601692285,0.5,4,-0.041393760169228466
fifa_ranking_only,all,quarterfinal,"(0.6,0.7]",,,0,
fifa_ranking_only,all,quarterfinal,"(0.7,0.8]",0.7875343486210201,0.0,1,-0.7875343486210201
fifa_ranking_only,all,quarterfinal,"(0.8,0.9]",,,0,
fifa_ranking_only,all,quarterfinal,"(0.9,1.0]",,,0,
fifa_ranking_only,all,round_of_16,"(0.0,0.1]",,,0,
fifa_ranking_only,all,round_of_16,"(0.1,0.2]",,,0,
fifa_ranking_only,all,round_of_16,"(0.2,0.3]",,,0,
fifa_ranking_only,all,round_of_16,"(0.3,0.4]",0.3798622256337568,0.5,2,0.12013777436624318
fifa_ranking_only,all,round_of_16,"(0.4,0.5]",0.467516329285423,0.16666666666666666,6,-0.30084966261875634
fifa_ranking_only,all,round_of_16,"(0.5,0.6]",0.5374764174429048,0.3333333333333333,6,-0.20414308410957144
fifa_ranking_only,all,round_of_16,"(0.6,0.7]",0.6712830065287773,0.5714285714285714,7,-0.09985443510020586
fifa_ranking_only,all,round_of_16,"(0.7,0.8]",0.720842341817249,1.0,1,0.27915765818275096
fifa_ranking_only,all,round_of_16,"(0.8,0.9]",,,0,
fifa_ranking_only,all,round_of_16,"(0.9,1.0]",0.9122935463936641,1.0,2,0.08770645360633589
fifa_ranking_only,all,semifinal,"(0.0,0.1]",,,0,
fifa_ranking_only,all,semifinal,"(0.1,0.2]",,,0,
fifa_ranking_only,all,semifinal,"(0.2,0.3]",,,0,
fifa_ranking_only,all,semifinal,"(0.3,0.4]",,,0,
fifa_ranking_only,all,semifinal,"(0.4,0.5]",0.4503046776157309,0.6666666666666666,3,0.21636198905093573
fifa_ranking_only,all,semifinal,"(0.5,0.6]",0.5359207681071569,0.0,2,-0.5359207681071569
fifa_ranking_only,all,semifinal,"(0.6,0.7]",,,0,
fifa_ranking_only,all,semifinal,"(0.7,0.8]",,,0,
fifa_ranking_only,all,semifinal,"(0.8,0.9]",,,0,
fifa_ranking_only,all,semifinal,"(0.9,1.0]",0.9263342652576538,1.0,1,0.07366573474234617
fifa_ranking_only,all,third_place,"(0.0,0.1]",,,0,
fifa_ranking_only,all,third_place,"(0.1,0.2]",,,0,
fifa_ranking_only,all,third_place,"(0.2,0.3]",,,0,
fifa_ranking_only,all,third_place,"(0.3,0.4]",,,0,
fifa_ranking_only,all,third_place,"(0.4,0.5]",0.41787953693236685,0.5,2,0.08212046306763315
fifa_ranking_only,all,third_place,"(0.5,0.6]",,,0,
fifa_ranking_only,all,third_place,"(0.6,0.7]",,,0,
fifa_ranking_only,all,third_place,"(0.7,0.8]",,,0,
fifa_ranking_only,all,third_place,"(0.8,0.9]",,,0,
fifa_ranking_only,all,third_place,"(0.9,1.0]",0.9107107164920459,1.0,1,0.08928928350795406
historical_class_frequency,all,final,"(0.0,0.1]",,,0,
historical_class_frequency,all,final,"(0.1,0.2]",,,0,
historical_class_frequency,all,final,"(0.2,0.3]",,,0,
historical_class_frequency,all,final,"(0.3,0.4]",,,0,
historical_class_frequency,all,final,"(0.4,0.5]",0.49249004626236087,0.6666666666666666,3,0.17417662040430576
historical_class_frequency,all,final,"(0.5,0.6]",,,0,
historical_class_frequency,all,final,"(0.6,0.7]",,,0,
historical_class_frequency,all,final,"(0.7,0.8]",,,0,
historical_class_frequency,all,final,"(0.8,0.9]",,,0,
historical_class_frequency,all,final,"(0.9,1.0]",,,0,
historical_class_frequency,all,group,"(0.0,0.1]",,,0,
historical_class_frequency,all,group,"(0.1,0.2]",,,0,
historical_class_frequency,all,group,"(0.2,0.3]",,,0,
historical_class_frequency,all,group,"(0.3,0.4]",,,0,
historical_class_frequency,all,group,"(0.4,0.5]",0.49249004626236087,0.375,144,-0.11749004626236087
historical_class_frequency,all,group,"(0.5,0.6]",,,0,
historical_class_frequency,all,group,"(0.6,0.7]",,,0,
historical_class_frequency,all,group,"(0.7,0.8]",,,0,
historical_class_frequency,all,group,"(0.8,0.9]",,,0,
historical_class_frequency,all,group,"(0.9,1.0]",,,0,
historical_class_frequency,all,quarterfinal,"(0.0,0.1]",,,0,
historical_class_frequency,all,quarterfinal,"(0.1,0.2]",,,0,
historical_class_frequency,all,quarterfinal,"(0.2,0.3]",,,0,
historical_class_frequency,all,quarterfinal,"(0.3,0.4]",,,0,
historical_class_frequency,all,quarterfinal,"(0.4,0.5]",0.49249004626236087,0.25,12,-0.24249004626236087
historical_class_frequency,all,quarterfinal,"(0.5,0.6]",,,0,
historical_class_frequency,all,quarterfinal,"(0.6,0.7]",,,0,
historical_class_frequency,all,quarterfinal,"(0.7,0.8]",,,0,
historical_class_frequency,all,quarterfinal,"(0.8,0.9]",,,0,
historical_class_frequency,all,quarterfinal,"(0.9,1.0]",,,0,
